Book_ID,Lord_ID,Cont_Com_Name,Mod_Com_Name,Modern_Province,Number_Feudi,Comitatus,Comestabulia,Notes
1,1,Beneth,Binetto,Bari (Metropolitan City of),5,NA,Frangalius de Bitricto,
2,2,Bitrictum,Bitritto,Bari (Metropolitan City of),4,NA,Frangalius de Bitricto,
3,3,Sanctum Nicandrum,Sannicandro di Bari,Bari (Metropolitan City of),10,NA,Frangalius de Bitricto,
4,4,Casmassima,Casamassima,Bari (Metropolitan City of),3,NA,Frangalius de Bitricto,
5,5,Montanea ,non-ext.,Bari (Metropolitan City of),0,NA,Frangalius de Bitricto,
5,5,Montorone ,Adelfia,Bari (Metropolitan City of),2,NA,Frangalius de Bitricto,
6,6,Palum,Palo del Colle ,Bari (Metropolitan City of),3,NA,Frangalius de Bitricto,
7,7,Botonto,Bitonto,Bari (Metropolitan City of),2,NA,Frangalius de Bitricto,
7,7,Nohe,Noicattaro,Bari (Metropolitan City of),2,NA,Frangalius de Bitricto,
8,8,Lusitum,Loseto,Bari (Metropolitan City of),3.5,NA,Frangalius de Bitricto,
9,9,Botonto,Bitonto,Bari (Metropolitan City of),1,NA,Frangalius de Bitricto,
9,9,Nohe ,Noicattaro,Bari (Metropolitan City of),2,NA,Frangalius de Bitricto,
10,10,Incomplete ,Incomplete ,Incomplete ,2,NA,Frangalius de Bitricto,
11,11,Carbonaria,Carbonara di Bari, Bari (Metropolitan City of),1,NA,Frangalius de Bitricto,
12,12,Cillia ,Ceglie del Campo,Bari (Metropolitan City of),1,NA,Frangalius de Bitricto,
13,13,Aquamviva,Acquaviva della Fonti,Bari (Metropolitan City of),5,NA,Frangalius de Bitricto,
14,14,Johe,Gioia del Colle ,Bari (Metropolitan City of),3,Principatu Tarenti,NA,
14,14,Turritum,Toritto,Bari (Metropolitan City of),4,NA,Frangalius de Bitricto,
15,15,Balleczanum,Valenzano,Bari (Metropolitan City of),2,NA,Frangalius de Bitricto,
16,16,Mallanum,non-ext.,Bari (Metropolitan City of),1,NA,Frangalius de Bitricto,
17,17,Botonto,Bitonto,Bari (Metropolitan City of),2,NA,Frangalius de Bitricto,
18,18,Botonto,Bitonto,Bari (Metropolitan City of),1.25,NA,Frangalius de Bitricto,
19,19,Betecta,Bitetto,Bari (Metropolitan City of),1,NA,Frangalius de Bitricto,
19,19,Botonto,Bitonto,Bari (Metropolitan City of),1,NA,Frangalius de Bitricto,
20,20,Botonto,Bitonto,Bari (Metropolitan City of),1,NA,Frangalius de Bitricto,
21,21,Botonto,Bitonto,Bari (Metropolitan City of),1,NA,Frangalius de Bitricto,
22,22,Botonto ,Bitonto,Bari (Metropolitan City of),1,Principatu Tarenti,NA,
23,23,Botonto,Bitonto,Bari (Metropolitan City of),1,NA,Frangalius de Bitricto,
24,24,Botonto,Bitonto,Bari (Metropolitan City of),1,NA ,Frangalius de Bitricto,
25,25,Botonto,Bitonto,Bari (Metropolitan City of),1,NA,Frangalius de Bitricto,
26,26,Botonto,Bitonto,Bari (Metropolitan City of),1,NA,Frangalius de Bitricto,
27,27,Botonto,Bitonto,Bari (Metropolitan City of),1,NA,Frangalius de Bitricto,
