Book_ID,Lord_ID,Firstname,Surname,Milites,Servientes,Feudi_Owned,Notes
1,1,Robbertus,de Beneth,11,12,1,
2,2,Francarius ,NA,10,10,1,the constible or his son
3,3,Guillelmus,de Tot,20,0,1,
4,4,Guido,de Venusio ,7,8,1,
5,5,Goffridus,Tortamanu,4,6,2,
"6, 90",6,Rogerius,Flamengus,14,6,2,
7,7,Boamundus,de Cagnano ,8,8,2,
8,8,NA,Judex Maior Botonti,3,4,1,
9,9,Guillelmus,de Tivilla,6,0,2,"Damaged manuscript, Servientes missing."
10,12,Hugo,Frascente ,2,0,1,"Damaged manuscript, Servientes missing."
11,11,Riccardus,de Carbonaria ,2,3,1,
12,12,Petrus,Filius Guillelmi Briardi ,2,3,1,
13,13,Robbertus,filius Guillelmi Gurgulionis,12,30,1,
14,14,Robertus,Sperlincus,14,40,2,
"15, 32",15,Helias,de Sclavo,5,10,2,
16,16,Guillelmus,de Oria,2,0,1,
17,17,Hugo,de Altavilla,4,4,1,
18,18,Rael,de Petramala,3,3,1,
19,19,NA,Filius Guillelmi de Auregnes,4,4,2,
20,20,Peregrinus ,de Melfia,2,3,1,
21,21,Sicardus ,Lombardus,2,3,1,
22,22,Johannes,Marchisius,2,3,1,
23,23,Raul ,de Genciano,2,3,1,
24,24,NA,Uxor Guillelmi Senescalci,4,5,1,
25,25,NA,Filia Guillelmi Gallipoli,2,2,1,
26,26,Raynaldus,Tallaboscu ,2,3,1,
27,27,Crispinus,de Gravina ,2,3,1,
28,28,Alexander ,Lepuier,3,0,1,
29,29,Ferraczanus,Venusij,2,3,1,
"30, 88",30,Guillelmus ,filius Symonis ,4,0,2,
31,31,Robbertus,Senescalcus,2,0,2,
33,32,Guillelmus ,de Tivilla ,15,20,1,
34,33,Guillelmus ,de Malerba,2,3,1,
35,34,NA,Filii Henrici Loergni ,2,3,1,
36,35,Rahul ,de Alamagno,4,4,2,
37,36,Petrus ,de Principatu ,2,2,1,
38,37,Hugo,Lugattu,2,3,1,
39,38,Umfridus,Bonellus,1,2,1,
40,39,Galganus,filius Jordani,2,3,1,
41,40,Riccardus,Fillius Jordani,2,3,1,
"42, 74",41,Guillelmus,Cebronis,3,0,1,
43,42,Symon,de Partenico,2,2,1,
44,43,Floriana ,uxor Berardi de Bersentone,2,2,1,
45,44,Altruda,uxor Hugonis Blanci,2,2,2,
46,45,Freselengda ,uxor Brilieni Schifiadei ,1,0,1,
47,46,Boamundus,Travallie,2,3,1,
48,47,Galganus,de Altavilla,2,3,1,
"49, 80",48,Rogerius,filius Girohy,5,4,2,
50,49,Goffridus ,Columbellus,1,0,0,
51,50,Flandena,filia Hugonis Gatti ,1,0,1,
52,51,Sanson ,de Barulo,2,3,1,
"53, 54",52,Gilbertus,de Gravina ,18,18,5,
55,53,Antenorius,Alti Johannis,2,0,1,
56,54,Riccardus ,Cebronis,1,0,1,
57,55,Guillelmus,de Trigarico,0.67,0,0.34,
57,56,Guillelmus ,Malaopera,0.67,0,0.33,
57,57,Raynaldus ,de Bellocampo,0.66,0,0.33,
58,58,Accardus ,NA,1,0,1,
59,59,Domina,Advisa,2,0,1,
60,60,Guillelmus,Pictarie,2,0,1,
61,61,Raymundus,NA,2,0,1,
62,62,Goffridus,de Francavilla,2,0,1,
63,63,Rosinus,NA,2,0,1,
64,64,Nicolaus ,de Brahi,12,0,1,
65,65,Guillelmus,de Garreis,14,8,1,
66,66,Rogerius,de Caviano,12,12,2,
67,67,Matheus ,de Tito,4,4,1,
68,68,Guillelmus,filius eius (Matheus de Tito),4,4,1,
69,69,Robbertus,Petreperciate,6,4,2,
70,70,Alexander ,Marsici Veteris,4,0,1,
71,71,Philippa,quondam Marchionissa Gravine,8,0,1,
72,72,Berteraymus,Andrie,72,200,6,
73,73,Guillelmus,Rapollensis,3,0,1,
75,74,Robbertus,Princeps,2,0,1,
76,75,Danesius,NA,4,0,2,
77,76,Jordanus,de Neapoli,2,0,1,
78,77,Jacob,NA,2,0,1,
79,78,Robbertus,Panem et vinum,2,0,1,
81,79,Rogerius,de Ogiano,2,0,1,
82,80,Guillelmus,Marescalcus,2,0,1,
83,81,Grahelonus,NA,2,0,1,
84,82,Rahul ,filius Obbertj,2,0,1,
85,83,NA,Filius Johannis de Juncato,2,0,1,
86,84,Goffridus,de Partenico,16,0,1,
87,85,Abbas,Bancie,7,0,1,
89,86,Riccardus,Maletta,8,0,1,
91,87,Riccardus,de Roto,7,8,1,
92,88,Girinus,Andrie,4,0,1,
93,89,NA,Domini Lacumpensilis,8,8,1,
94,90,Beregnerius,de Missanello,4,5,1,
95,91,NA,Domina Glose,6,5,1,
96,92,NA,Domini Tore,3,4,1,
97,93,NA,Morellano Vineolam (region),4,4,1,
98,94,Gottifredi,Malinepotis,2,0,2,
